fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_0_vp,labels_0_fp,labels_0_fn,labels_0_precision,labels_0_recall,labels_0_f_measure
1,1,"[8, 3, 2]",0.25,1.7703581092504956,0.6459537572254336,0.6973684210526315,1.7250533827594534,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,2,"[8, 3, 2]",0.25,1.723133467259294,0.6459537572254336,0.6973684210526315,1.6773162071286756,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,3,"[8, 3, 2]",0.25,1.661920273869011,0.6459537572254336,0.6973684210526315,1.615549777540675,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,4,"[8, 3, 2]",0.25,1.5940367365314725,0.6459537572254336,0.6973684210526315,1.547261943896558,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,5,"[8, 3, 2]",0.25,1.5262630444164014,0.6459537572254336,0.6973684210526315,1.4794242504285546,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,6,"[8, 3, 2]",0.25,1.4641561775981355,0.6459537572254336,0.6973684210526315,1.4177599082209638,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,7,"[8, 3, 2]",0.25,1.4116827414826347,0.6459537572254336,0.6973684210526315,1.3663535820734716,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,8,"[8, 3, 2]",0.25,1.3711498073459598,0.6459537572254336,0.6973684210526315,1.3275671280936219,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,9,"[8, 3, 2]",0.25,1.3433365690913273,0.6459537572254336,0.6973684210526315,1.302166065137438,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,10,"[8, 3, 2]",0.25,1.3277169484520754,0.6459537572254336,0.6973684210526315,1.289546254293925,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,11,"[8, 3, 2]",0.25,1.3227130760456276,0.6459537572254336,0.6973684210526315,1.2879987045174857,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
