fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
1,1,"[13, 1, 2, 3]",0.25,2.304115040095442,0.4161490683229814,0.23529411764705882,2.931169406070449,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,2,"[13, 1, 2, 3]",0.25,2.259498567822705,0.4161490683229814,0.23529411764705882,2.8653331032172757,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,3,"[13, 1, 2, 3]",0.25,2.2007860415344935,0.4161490683229814,0.23529411764705882,2.776684975383508,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,4,"[13, 1, 2, 3]",0.25,2.134877381579753,0.4161490683229814,0.23529411764705882,2.6734886180420077,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,5,"[13, 1, 2, 3]",0.25,2.0689987052766714,0.4161490683229814,0.23529411764705882,2.5644313918756088,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,6,"[13, 1, 2, 3]",0.25,2.0099063227188974,0.4161490683229814,0.23529411764705882,2.457851536216808,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,7,"[13, 1, 2, 3]",0.25,1.9629186306061823,0.4161490683229814,0.23529411764705882,2.360767870309851,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,8,"[13, 1, 2, 3]",0.25,1.9310349123353023,0.4161490683229814,0.23529411764705882,2.27795952675076,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,9,"[13, 1, 2, 3]",0.25,1.91452197204668,0.4161490683229814,0.23529411764705882,2.211475971125258,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,10,"[13, 1, 2, 3]",0.25,1.9112036713237128,0.4161490683229814,0.23529411764705882,2.1608264226588254,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,11,"[13, 1, 2, 3]",0.25,1.9173317288954832,0.4161490683229814,0.23529411764705882,2.1237504791370516,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,12,"[13, 1, 2, 3]",0.25,1.928645340511199,0.4161490683229814,0.23529411764705882,2.0971987629953515,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.23529411764705882,0,0,5,0,0,0,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0,0,8,0.0,0.0,0.0
1,13,"[13, 1, 2, 3]",0.25,1.9412443496700185,0.3167701863354037,0.47058823529411764,2.078158744726637,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,5,0,0,0,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,14,"[13, 1, 2, 3]",0.25,1.952111002686773,0.3167701863354037,0.47058823529411764,2.064160019289039,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,5,0,0,0,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,15,"[13, 1, 2, 3]",0.25,1.9593083246982523,0.3167701863354037,0.47058823529411764,2.053480380841755,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,5,0,0,0,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,16,"[13, 1, 2, 3]",0.25,1.9619600414885787,0.3167701863354037,0.47058823529411764,2.0451503236443505,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,5,0,0,0,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
