fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
1,1,"[13, 2, 2, 3]",0.1,2.3200646475804914,0.3167701863354037,0.47058823529411764,2.0069599061284777,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,2,"[13, 2, 2, 3]",0.1,2.2750748229879285,0.3167701863354037,0.47058823529411764,1.9816433207249977,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,3,"[13, 2, 2, 3]",0.1,2.2162545288570517,0.3167701863354037,0.47058823529411764,1.9502738288342125,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,4,"[13, 2, 2, 3]",0.1,2.1506800906024406,0.3167701863354037,0.47058823529411764,1.9184314586180025,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,5,"[13, 2, 2, 3]",0.1,2.0854376128529157,0.3167701863354037,0.47058823529411764,1.8916830097590533,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,6,"[13, 2, 2, 3]",0.1,2.0267807125916675,0.3167701863354037,0.47058823529411764,1.8747770651282232,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,7,"[13, 2, 2, 3]",0.1,1.9793147809390315,0.3167701863354037,0.47058823529411764,1.8708658310486317,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,8,"[13, 2, 2, 3]",0.1,1.9454424160721633,0.3167701863354037,0.47058823529411764,1.8809895523626123,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999
1,9,"[13, 2, 2, 3]",0.1,1.9252862106064341,0.38509316770186336,0.47058823529411764,1.9040368452315513,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,8,0.0,0.0,0.0
1,10,"[13, 2, 2, 3]",0.1,1.9171186050401174,0.391304347826087,0.47058823529411764,1.937205145612887,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,8,0.0,0.0,0.0
1,11,"[13, 2, 2, 3]",0.1,1.9181029448910003,0.391304347826087,0.47058823529411764,1.9767608164827473,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,8,0.0,0.0,0.0
1,12,"[13, 2, 2, 3]",0.1,1.925057496184783,0.391304347826087,0.47058823529411764,2.0188095765637484,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,8,0.0,0.0,0.0
1,13,"[13, 2, 2, 3]",0.1,1.935031467315281,0.391304347826087,0.47058823529411764,2.0598684463244443,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,8,0.0,0.0,0.0
1,14,"[13, 2, 2, 3]",0.1,1.9456270141494434,0.391304347826087,0.47058823529411764,2.0971766569400607,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,1,0,0,0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,8,0.0,0.0,0.0
