tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_g_vp,labels_g_fp,labels_g_fn,labels_g_precision,labels_g_recall,labels_g_f_measure,labels_b_vp,labels_b_fp,labels_b_fn,labels_b_precision,labels_b_recall,labels_b_f_measure
45,5,0.9142857142857143,0.08571428571428574,0.91,0.9142857142857143,0.8882575757575758,0.9142857142857143,23,2,1,0.92,0.9583333333333334,0.9387755102040817,9,1,2,0.9,0.8181818181818182,0.8571428571428572
45,5,0.9142857142857143,0.08571428571428574,0.94,0.9142857142857143,0.8846153846153846,0.9142857142857143,22,3,0,0.88,1.0,0.9361702127659575,10,0,3,1.0,0.7692307692307693,0.8695652173913044
45,5,0.8571428571428571,0.1428571428571429,0.8315217391304348,0.8571428571428571,0.8465909090909092,0.8571428571428571,21,2,3,0.9130434782608695,0.875,0.8936170212765957,9,3,2,0.75,0.8181818181818182,0.7826086956521738
45,5,0.9714285714285714,0.02857142857142858,0.9782608695652174,0.9714285714285714,0.9615384615384616,0.9714285714285714,22,1,0,0.9565217391304348,1.0,0.9777777777777777,12,0,1,1.0,0.9230769230769231,0.9600000000000001
45,5,0.9142857142857143,0.08571428571428574,0.9375,0.9142857142857143,0.8928571428571428,0.9142857142857143,21,3,0,0.875,1.0,0.9333333333333333,11,0,3,1.0,0.7857142857142857,0.88
45,5,0.9714285714285714,0.02857142857142858,0.9791666666666667,0.9714285714285714,0.9583333333333333,0.9714285714285714,23,1,0,0.9583333333333334,1.0,0.9787234042553191,11,0,1,1.0,0.9166666666666666,0.9565217391304348
45,5,0.8857142857142857,0.11428571428571432,0.9166666666666667,0.8857142857142857,0.8666666666666667,0.8857142857142857,20,4,0,0.8333333333333334,1.0,0.9090909090909091,11,0,4,1.0,0.7333333333333333,0.846153846153846
45,5,0.8888888888888888,0.11111111111111116,0.8963210702341138,0.8888888888888888,0.8761904761904762,0.8888888888888888,20,3,1,0.8695652173913043,0.9523809523809523,0.909090909090909,12,1,3,0.9230769230769231,0.8,0.8571428571428571
50,5,0.9428571428571428,0.05714285714285716,0.9252136752136753,0.9428571428571428,0.9252136752136753,0.9428571428571428,25,1,1,0.9615384615384616,0.9615384615384616,0.9615384615384616,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888
50,5,0.8857142857142857,0.11428571428571432,0.9130434782608696,0.8857142857142857,0.875,0.8857142857142857,19,4,0,0.8260869565217391,1.0,0.9047619047619047,12,0,4,1.0,0.75,0.8571428571428571
50,5,0.8857142857142857,0.11428571428571432,0.9199999999999999,0.8857142857142857,0.8571428571428572,0.8857142857142857,21,4,0,0.84,1.0,0.9130434782608696,10,0,4,1.0,0.7142857142857143,0.8333333333333333
50,5,0.9714285714285714,0.02857142857142858,0.98,0.9714285714285714,0.9545454545454546,0.9714285714285714,24,1,0,0.96,1.0,0.9795918367346939,10,0,1,1.0,0.9090909090909091,0.9523809523809523
50,5,0.8571428571428571,0.1428571428571429,0.87,0.8571428571428571,0.8234265734265734,0.8571428571428571,21,4,1,0.84,0.9545454545454546,0.8936170212765958,9,1,4,0.9,0.6923076923076923,0.7826086956521738
50,5,0.9142857142857143,0.08571428571428574,0.9347826086956521,0.9142857142857143,0.9,0.9142857142857143,20,3,0,0.8695652173913043,1.0,0.9302325581395349,12,0,3,1.0,0.8,0.888888888888889
50,5,0.9428571428571428,0.05714285714285716,0.9615384615384616,0.9428571428571428,0.9090909090909092,0.9428571428571428,24,2,0,0.9230769230769231,1.0,0.9600000000000001,9,0,2,1.0,0.8181818181818182,0.9
50,5,0.9142857142857143,0.08571428571428574,0.9148550724637681,0.9142857142857143,0.9003496503496504,0.9142857142857143,21,2,1,0.9130434782608695,0.9545454545454546,0.9333333333333332,11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999
50,5,0.8857142857142857,0.11428571428571432,0.9259259259259259,0.8857142857142857,0.8333333333333333,0.8857142857142857,23,4,0,0.8518518518518519,1.0,0.92,8,0,4,1.0,0.6666666666666666,0.8
50,5,0.8611111111111112,0.13888888888888884,0.8411371237458194,0.8611111111111112,0.8541666666666667,0.8611111111111112,21,2,3,0.9130434782608695,0.875,0.8936170212765957,10,3,2,0.7692307692307693,0.8333333333333334,0.8
