fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
1,1,"[13, 1, 3]",0.5,2.413980044993265,0.5527950310559007,0.47058823529411764,2.857553066543223,0.4666666666666666,0.47058823529411764,0.6666666666666666,0.47058823529411764,2,0,0,1.0,1.0,1.0,0,0,9,0.0,0.0,0.0,6,9,0,0.4,1.0,0.5714285714285715
1,2,"[13, 1, 3]",0.5,2.3326348397244177,0.5341614906832298,0.47058823529411764,2.7488639757093467,0.4666666666666666,0.47058823529411764,0.6666666666666666,0.47058823529411764,2,0,0,1.0,1.0,1.0,0,0,9,0.0,0.0,0.0,6,9,0,0.4,1.0,0.5714285714285715
1,3,"[13, 1, 3]",0.5,2.2316001343047307,0.515527950310559,0.4117647058823529,2.611038170060063,0.4583333333333333,0.4117647058823529,0.5,0.4117647058823529,1,0,1,1.0,0.5,0.6666666666666666,0,0,9,0.0,0.0,0.0,6,10,0,0.375,1.0,0.5454545454545454
1,4,"[13, 1, 3]",0.5,2.1271305499118465,0.4968944099378882,0.4117647058823529,2.463663961147983,0.4583333333333333,0.4117647058823529,0.5,0.4117647058823529,1,0,1,1.0,0.5,0.6666666666666666,0,0,9,0.0,0.0,0.0,6,10,0,0.375,1.0,0.5454545454545454
1,5,"[13, 1, 3]",0.5,2.0333955819299057,0.4472049689440994,0.4117647058823529,2.3242039249509814,0.4583333333333333,0.4117647058823529,0.5,0.4117647058823529,1,0,1,1.0,0.5,0.6666666666666666,0,0,9,0.0,0.0,0.0,6,10,0,0.375,1.0,0.5454545454545454
1,6,"[13, 1, 3]",0.5,1.9600736728619312,0.4161490683229814,0.35294117647058826,2.205246310354844,0.11764705882352942,0.35294117647058826,0.3333333333333333,0.35294117647058826,0,0,2,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0,6,11,0,0.35294117647058826,1.0,0.5217391304347826
1,7,"[13, 1, 3]",0.5,1.9112474128931016,0.36024844720496896,0.35294117647058826,2.1131484609665616,0.125,0.35294117647058826,0.3333333333333333,0.35294117647058826,0,0,2,0.0,0.0,0.0,0,1,9,0.0,0.0,0.0,6,10,0,0.375,1.0,0.5454545454545454
1,8,"[13, 1, 3]",0.5,1.8858924047602612,0.5527950310559007,0.6470588235294118,2.0484447589953665,0.4380952380952381,0.6470588235294118,0.5185185185185185,0.6470588235294118,0,0,2,0.0,0.0,0.0,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001,6,4,0,0.6,1.0,0.7499999999999999
1,9,"[13, 1, 3]",0.5,1.879507777746227,0.38509316770186336,0.5294117647058824,2.007557778967529,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,10,"[13, 1, 3]",0.5,1.886039303472088,0.38509316770186336,0.5294117647058824,1.9848827380507046,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,11,"[13, 1, 3]",0.5,1.8994243885166218,0.38509316770186336,0.5294117647058824,1.9744920782401594,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,12,"[13, 1, 3]",0.5,1.9145194622061537,0.38509316770186336,0.5294117647058824,1.9711798399444194,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,13,"[13, 1, 3]",0.5,1.9274894492203154,0.38509316770186336,0.5294117647058824,1.9709224965144478,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,14,"[13, 1, 3]",0.5,1.9358483350122155,0.38509316770186336,0.5294117647058824,1.970958618858722,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,15,"[13, 1, 3]",0.5,1.938318204268801,0.38509316770186336,0.5294117647058824,1.9696691467291587,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,16,"[13, 1, 3]",0.5,1.9346141847964458,0.38509316770186336,0.5294117647058824,1.9663756891989599,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,17,"[13, 1, 3]",0.5,1.925211329188423,0.38509316770186336,0.5294117647058824,1.961118391198216,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,18,"[13, 1, 3]",0.5,1.9111178200155927,0.38509316770186336,0.5294117647058824,1.9544401543664471,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
1,19,"[13, 1, 3]",0.5,1.893663615741909,0.38509316770186336,0.5294117647058824,1.947186888230642,0.17647058823529413,0.5294117647058824,0.3333333333333333,0.5294117647058824,0,0,2,0.0,0.0,0.0,9,8,0,0.5294117647058824,1.0,0.6923076923076924,0,0,6,0.0,0.0,0.0
