fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
1,1,"[13, 2, 2, 3]",0.5,3.008085977826129,0.2484472049689441,0.47058823529411764,3.1640949133922884,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,7,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
1,2,"[13, 2, 2, 3]",0.5,2.9079698414208663,0.2484472049689441,0.4117647058823529,3.081519067474739,0.14583333333333334,0.4117647058823529,0.2916666666666667,0.4117647058823529,7,9,1,0.4375,0.875,0.5833333333333334,0,1,7,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
1,3,"[13, 2, 2, 3]",0.5,2.7746598012338444,0.18633540372670807,0.35294117647058826,2.972881858700675,0.13333333333333333,0.35294117647058826,0.25,0.35294117647058826,6,9,2,0.4,0.75,0.5217391304347827,0,2,7,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
1,4,"[13, 2, 2, 3]",0.5,2.6219666611762595,0.09937888198757763,0.29411764705882354,2.850799986515548,0.11904761904761905,0.29411764705882354,0.20833333333333334,0.29411764705882354,5,9,3,0.35714285714285715,0.625,0.45454545454545453,0,3,7,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
1,5,"[13, 2, 2, 3]",0.5,2.4642283265451774,0.08695652173913043,0.23529411764705882,2.7283389839564576,0.10256410256410257,0.23529411764705882,0.16666666666666666,0.23529411764705882,4,9,4,0.3076923076923077,0.5,0.380952380952381,0,4,7,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0
1,6,"[13, 2, 2, 3]",0.5,2.314982628034884,0.14906832298136646,0.17647058823529413,2.617692145221251,0.08333333333333333,0.17647058823529413,0.14285714285714285,0.17647058823529413,0,5,8,0.0,0.0,0.0,3,9,4,0.25,0.42857142857142855,0.3157894736842105,0,0,2,0.0,0.0,0.0
1,7,"[13, 2, 2, 3]",0.5,2.1854268567186463,0.39751552795031053,0.4117647058823529,2.528680582818546,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,8,"[13, 2, 2, 3]",0.5,2.0830213929563564,0.39751552795031053,0.4117647058823529,2.467431367574886,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,9,"[13, 2, 2, 3]",0.5,2.0107646347642976,0.39751552795031053,0.4117647058823529,2.4357386831045336,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,10,"[13, 2, 2, 3]",0.5,1.9674624589850607,0.39751552795031053,0.4117647058823529,2.431398816330414,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,11,"[13, 2, 2, 3]",0.5,1.9488364372619658,0.39751552795031053,0.4117647058823529,2.4493437028535565,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,12,"[13, 2, 2, 3]",0.5,1.9489651899294216,0.39751552795031053,0.4117647058823529,2.483071372376198,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,13,"[13, 2, 2, 3]",0.5,1.9615715171413597,0.43478260869565216,0.35294117647058826,2.525903400291618,0.125,0.35294117647058826,0.2857142857142857,0.35294117647058826,0,0,8,0.0,0.0,0.0,6,10,1,0.375,0.8571428571428571,0.5217391304347825,0,1,2,0.0,0.0,0.0
1,14,"[13, 2, 2, 3]",0.5,1.9809152364764462,0.422360248447205,0.35294117647058826,2.571845161122542,0.23232323232323235,0.35294117647058826,0.5238095238095238,0.35294117647058826,0,0,8,0.0,0.0,0.0,4,7,3,0.36363636363636365,0.5714285714285714,0.4444444444444444,2,4,0,0.3333333333333333,1.0,0.5
1,15,"[13, 2, 2, 3]",0.5,2.0022806127835793,0.4409937888198758,0.23529411764705882,2.616045496549548,0.18888888888888888,0.23529411764705882,0.42857142857142855,0.23529411764705882,0,0,8,0.0,0.0,0.0,2,3,5,0.4,0.2857142857142857,0.3333333333333333,2,10,0,0.16666666666666666,1.0,0.2857142857142857
1,16,"[13, 2, 2, 3]",0.5,2.0221548245607286,0.39751552795031053,0.11764705882352941,2.65495341409072,0.047619047619047616,0.11764705882352941,0.3333333333333333,0.11764705882352941,0,0,8,0.0,0.0,0.0,0,3,7,0.0,0.0,0.0,2,12,0,0.14285714285714285,1.0,0.25
1,17,"[13, 2, 2, 3]",0.5,2.0382079744743784,0.39751552795031053,0.11764705882352941,2.686280706787907,0.044444444444444446,0.11764705882352941,0.3333333333333333,0.11764705882352941,0,0,8,0.0,0.0,0.0,0,2,7,0.0,0.0,0.0,2,13,0,0.13333333333333333,1.0,0.23529411764705882
1,18,"[13, 2, 2, 3]",0.5,2.0491609874793495,0.39751552795031053,0.11764705882352941,2.708854977282065,0.044444444444444446,0.11764705882352941,0.3333333333333333,0.11764705882352941,0,0,8,0.0,0.0,0.0,0,2,7,0.0,0.0,0.0,2,13,0,0.13333333333333333,1.0,0.23529411764705882
1,19,"[13, 2, 2, 3]",0.5,2.0545987943632116,0.39751552795031053,0.11764705882352941,2.7224193047853475,0.047619047619047616,0.11764705882352941,0.3333333333333333,0.11764705882352941,0,0,8,0.0,0.0,0.0,0,3,7,0.0,0.0,0.0,2,12,0,0.14285714285714285,1.0,0.25
1,20,"[13, 2, 2, 3]",0.5,2.054764191369758,0.42857142857142855,0.17647058823529413,2.7274135224481064,0.1346153846153846,0.17647058823529413,0.38095238095238093,0.17647058823529413,0,0,8,0.0,0.0,0.0,1,3,6,0.25,0.14285714285714285,0.18181818181818182,2,11,0,0.15384615384615385,1.0,0.2666666666666667
1,21,"[13, 2, 2, 3]",0.5,2.0503539433460625,0.4658385093167702,0.35294117647058826,2.724758734163809,0.23148148148148148,0.35294117647058826,0.5238095238095238,0.35294117647058826,0,0,8,0.0,0.0,0.0,4,5,3,0.4444444444444444,0.5714285714285714,0.5,2,6,0,0.25,1.0,0.4
1,22,"[13, 2, 2, 3]",0.5,2.0423309802409704,0.43478260869565216,0.35294117647058826,2.715659222421732,0.21153846153846154,0.35294117647058826,0.4047619047619048,0.35294117647058826,0,0,8,0.0,0.0,0.0,5,8,2,0.38461538461538464,0.7142857142857143,0.5,1,3,1,0.25,0.5,0.3333333333333333
1,23,"[13, 2, 2, 3]",0.5,2.0317623486512923,0.40372670807453415,0.35294117647058826,2.7014317774051664,0.125,0.35294117647058826,0.2857142857142857,0.35294117647058826,0,0,8,0.0,0.0,0.0,6,10,1,0.375,0.8571428571428571,0.5217391304347825,0,1,2,0.0,0.0,0.0
1,24,"[13, 2, 2, 3]",0.5,2.019689758659224,0.39751552795031053,0.4117647058823529,2.6833695980547487,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,25,"[13, 2, 2, 3]",0.5,2.0070367005104615,0.39751552795031053,0.4117647058823529,2.6626448953232797,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,26,"[13, 2, 2, 3]",0.5,1.99455267084852,0.39751552795031053,0.4117647058823529,2.6402506754653556,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,27,"[13, 2, 2, 3]",0.5,1.9827913197004223,0.39751552795031053,0.4117647058823529,2.6169782240506247,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,28,"[13, 2, 2, 3]",0.5,1.972116055537694,0.39751552795031053,0.4117647058823529,2.5934233544145036,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,29,"[13, 2, 2, 3]",0.5,1.9627245927079087,0.39751552795031053,0.4117647058823529,2.570012332942708,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,30,"[13, 2, 2, 3]",0.5,1.954683499472552,0.39751552795031053,0.4117647058823529,2.547037963403031,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,31,"[13, 2, 2, 3]",0.5,1.9479649080137558,0.39751552795031053,0.4117647058823529,2.524697489366675,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,32,"[13, 2, 2, 3]",0.5,1.9424796817409187,0.39751552795031053,0.4117647058823529,2.5031262313412843,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,33,"[13, 2, 2, 3]",0.5,1.938103839607084,0.39751552795031053,0.4117647058823529,2.4824235264158676,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,34,"[13, 2, 2, 3]",0.5,1.9346973214682686,0.39751552795031053,0.4117647058823529,2.4626699725394565,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,35,"[13, 2, 2, 3]",0.5,1.9321158605526678,0.39751552795031053,0.4117647058823529,2.4439368009247255,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,36,"[13, 2, 2, 3]",0.5,1.930217666753876,0.39751552795031053,0.4117647058823529,2.4262892560135474,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,37,"[13, 2, 2, 3]",0.5,1.9288668743956692,0.39751552795031053,0.4117647058823529,2.409786201187952,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,38,"[13, 2, 2, 3]",0.5,1.9279354520877034,0.39751552795031053,0.4117647058823529,2.3944779655098882,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,39,"[13, 2, 2, 3]",0.5,1.9273047402177794,0.39751552795031053,0.4117647058823529,2.380403929547981,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,40,"[13, 2, 2, 3]",0.5,1.9268671876462007,0.39751552795031053,0.4117647058823529,2.367590733039475,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,41,"[13, 2, 2, 3]",0.5,1.926528359401722,0.39751552795031053,0.4117647058823529,2.3560514365801724,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,42,"[13, 2, 2, 3]",0.5,1.9262089629629706,0.39751552795031053,0.4117647058823529,2.345785575012317,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,43,"[13, 2, 2, 3]",0.5,1.9258465051878528,0.39751552795031053,0.4117647058823529,2.336779825802257,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,44,"[13, 2, 2, 3]",0.5,1.9253962117738614,0.39751552795031053,0.4117647058823529,2.329008957938012,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,45,"[13, 2, 2, 3]",0.5,1.9248309619968533,0.39751552795031053,0.4117647058823529,2.3224367786601485,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,46,"[13, 2, 2, 3]",0.5,1.9241401583005846,0.39751552795031053,0.4117647058823529,2.3170169057616534,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
1,47,"[13, 2, 2, 3]",0.5,1.9233276181597667,0.39751552795031053,0.4117647058823529,2.3126933188623147,0.1372549019607843,0.4117647058823529,0.3333333333333333,0.4117647058823529,0,0,8,0.0,0.0,0.0,7,10,0,0.4117647058823529,1.0,0.5833333333333334,0,0,2,0.0,0.0,0.0
