fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_0_vp,labels_0_fp,labels_0_fn,labels_0_precision,labels_0_recall,labels_0_f_measure
1,1,"[8, 1, 2]",0.25,1.7120639988713926,0.6459537572254336,0.6973684210526315,1.6122517233920932,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,2,"[8, 1, 2]",0.25,1.6779576404286363,0.6459537572254336,0.6973684210526315,1.5807339433622283,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,3,"[8, 1, 2]",0.25,1.632032853202109,0.6459537572254336,0.6973684210526315,1.5385181712101068,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,4,"[8, 1, 2]",0.25,1.5784339237989802,0.6459537572254336,0.6973684210526315,1.4896394058430513,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,5,"[8, 1, 2]",0.25,1.521521914827258,0.6459537572254336,0.6973684210526315,1.4383393977239722,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,6,"[8, 1, 2]",0.25,1.465687834897925,0.6459537572254336,0.6973684210526315,1.388870913766499,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,7,"[8, 1, 2]",0.25,1.4151216423443607,0.6459537572254336,0.6973684210526315,1.3452634171995628,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,8,"[8, 1, 2]",0.25,1.3734764348204624,0.6459537572254336,0.6973684210526315,1.3109893707982125,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,9,"[8, 1, 2]",0.25,1.343418021762163,0.6459537572254336,0.6973684210526315,1.2885184928205382,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,10,"[8, 1, 2]",0.25,1.3261557209881518,0.6459537572254336,0.6973684210526315,1.278851994057264,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,11,"[8, 1, 2]",0.25,1.3211515926927344,0.6459537572254336,0.6973684210526315,1.2812330539987,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,12,"[8, 1, 2]",0.25,1.3262005912348553,0.6459537572254336,0.6973684210526315,1.2932299538908758,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,13,"[8, 1, 2]",0.25,1.3379220170639194,0.6459537572254336,0.6973684210526315,1.3112376503370429,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,14,"[8, 1, 2]",0.25,1.3525013984030578,0.6459537572254336,0.6973684210526315,1.3312377382397667,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,15,"[8, 1, 2]",0.25,1.3664255987995444,0.6459537572254336,0.6973684210526315,1.349554252028269,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,16,"[8, 1, 2]",0.25,1.3770117451571202,0.6459537572254336,0.6973684210526315,1.3633987439895023,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,17,"[8, 1, 2]",0.25,1.382661004319718,0.6459537572254336,0.6973684210526315,1.371131534711434,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,18,"[8, 1, 2]",0.25,1.3828712043692732,0.6459537572254336,0.6973684210526315,1.3722731039234761,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,19,"[8, 1, 2]",0.25,1.378082422247929,0.6459537572254336,0.6973684210526315,1.3673420360140798,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,20,"[8, 1, 2]",0.25,1.3694260699848795,0.6459537572254336,0.6973684210526315,1.3575926794574666,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,21,"[8, 1, 2]",0.25,1.3584310704413611,0.6459537572254336,0.6973684210526315,1.3447081665865568,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,22,"[8, 1, 2]",0.25,1.3467280709844025,0.6459537572254336,0.6973684210526315,1.3304912161892697,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,23,"[8, 1, 2]",0.25,1.3357872205087786,0.6459537572254336,0.6973684210526315,1.3165894069115203,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,24,"[8, 1, 2]",0.25,1.3267213332684704,0.6459537572254336,0.6973684210526315,1.3042877228465275,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,25,"[8, 1, 2]",0.25,1.320177498365507,0.6459537572254336,0.6973684210526315,1.2943921179337803,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,26,"[8, 1, 2]",0.25,1.3163239176020458,0.6459537572254336,0.6973684210526315,1.2872111021791781,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,27,"[8, 1, 2]",0.25,1.3149189341801693,0.6459537572254336,0.6973684210526315,1.2826220296230781,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,28,"[8, 1, 2]",0.25,1.3154334903183174,0.6459537572254336,0.6973684210526315,1.2801927170546754,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
1,29,"[8, 1, 2]",0.25,1.317192485134318,0.6459537572254336,0.6973684210526315,1.2793232008866982,0.34868421052631576,0.6973684210526315,0.5,0.6973684210526315,0,0,23,0,0,0,53,23,0,0.6973684210526315,1.0,0.8217054263565892
