fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_0_vp,labels_0_fp,labels_0_fn,labels_0_precision,labels_0_recall,labels_0_f_measure
1,1,"[8, 3, 2, 2]",0.5,1.5390225332514191,0.6546242774566474,0.618421052631579,1.6545584414878731,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,2,"[8, 3, 2, 2]",0.5,1.5150370086856981,0.6546242774566474,0.618421052631579,1.6319996282310787,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,3,"[8, 3, 2, 2]",0.5,1.4834255854080858,0.6546242774566474,0.618421052631579,1.6023843302948313,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,4,"[8, 3, 2, 2]",0.5,1.4476634113987092,0.6546242774566474,0.618421052631579,1.5690837062366991,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,5,"[8, 3, 2, 2]",0.5,1.4112356611194277,0.6546242774566474,0.618421052631579,1.5354744164273544,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,6,"[8, 3, 2, 2]",0.5,1.3773148516659977,0.6546242774566474,0.618421052631579,1.504617264550479,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,7,"[8, 3, 2, 2]",0.5,1.3484619009250836,0.6546242774566474,0.618421052631579,1.4789601597583173,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,8,"[8, 3, 2, 2]",0.5,1.3263920011638581,0.6546242774566474,0.618421052631579,1.4601065743114507,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,9,"[8, 3, 2, 2]",0.5,1.3118502379875505,0.6546242774566474,0.618421052631579,1.4486943971575694,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
1,10,"[8, 3, 2, 2]",0.5,1.304625371097542,0.6546242774566474,0.618421052631579,1.4444134272287765,0.3092105263157895,0.618421052631579,0.5,0.618421052631579,0,0,29,0,0,0,47,29,0,0.618421052631579,1.0,0.7642276422764228
