fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
1,1,"[13, 1, 3]",0.1,2.7438633678949897,0.391304347826087,0.47058823529411764,2.575387027288934,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,2,"[13, 1, 3]",0.1,2.6422033309275035,0.391304347826087,0.47058823529411764,2.4908384810984807,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,3,"[13, 1, 3]",0.1,2.5092856800290733,0.391304347826087,0.47058823529411764,2.380501126024551,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,4,"[13, 1, 3]",0.1,2.362712131963635,0.391304347826087,0.47058823529411764,2.2594388541439203,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,5,"[13, 1, 3]",0.1,2.2208900226917994,0.391304347826087,0.47058823529411764,2.143746729746394,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,6,"[13, 1, 3]",0.1,2.0991104531310225,0.391304347826087,0.47058823529411764,2.0471377746673096,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,7,"[13, 1, 3]",0.1,2.0061002685609117,0.391304347826087,0.47058823529411764,1.9776261767917434,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,8,"[13, 1, 3]",0.1,1.943392344548831,0.391304347826087,0.47058823529411764,1.936614147932932,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,9,"[13, 1, 3]",0.1,1.907405354341783,0.391304347826087,0.47058823529411764,1.9205862236172953,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,10,"[13, 1, 3]",0.1,1.892215415668565,0.391304347826087,0.47058823529411764,1.9236477378893306,0.1568627450980392,0.47058823529411764,0.3333333333333333,0.47058823529411764,0,0,4,0.0,0.0,0.0,8,9,0,0.47058823529411764,1.0,0.6399999999999999,0,0,5,0.0,0.0,0.0
1,11,"[13, 1, 3]",0.1,1.8915591076339553,0.422360248447205,0.4117647058823529,1.9394761841099368,0.14583333333333334,0.4117647058823529,0.2916666666666667,0.4117647058823529,0,1,4,0.0,0.0,0.0,7,9,1,0.4375,0.875,0.5833333333333334,0,0,5,0.0,0.0,0.0
1,12,"[13, 1, 3]",0.1,1.8998710154765408,0.36024844720496896,0.4117647058823529,1.9624003502460907,0.3047619047619048,0.4117647058823529,0.375,0.4117647058823529,2,8,2,0.2,0.5,0.28571428571428575,5,2,3,0.7142857142857143,0.625,0.6666666666666666,0,0,5,0.0,0.0,0.0
1,13,"[13, 1, 3]",0.1,1.9126784845917657,0.32298136645962733,0.17647058823529413,1.9878491061870174,0.0625,0.17647058823529413,0.25,0.17647058823529413,3,13,1,0.1875,0.75,0.3,0,0,8,0.0,0.0,0.0,0,1,5,0.0,0.0,0.0
1,14,"[13, 1, 3]",0.1,1.926650856749624,0.3416149068322981,0.17647058823529413,2.0124339083087515,0.07692307692307693,0.17647058823529413,0.25,0.17647058823529413,3,10,1,0.23076923076923078,0.75,0.3529411764705882,0,0,8,0.0,0.0,0.0,0,4,5,0.0,0.0,0.0
1,15,"[13, 1, 3]",0.1,1.9394824081265551,0.39751552795031053,0.17647058823529413,2.0338429795927793,0.08333333333333333,0.17647058823529413,0.25,0.17647058823529413,3,9,1,0.25,0.75,0.375,0,0,8,0.0,0.0,0.0,0,5,5,0.0,0.0,0.0
1,16,"[13, 1, 3]",0.1,1.9497111765119957,0.45962732919254656,0.23529411764705882,2.050657930741572,0.1574074074074074,0.23529411764705882,0.3,0.23529411764705882,2,6,2,0.25,0.5,0.3333333333333333,0,0,8,0.0,0.0,0.0,2,7,3,0.2222222222222222,0.4,0.2857142857142857
1,17,"[13, 1, 3]",0.1,1.956530868171244,0.4720496894409938,0.29411764705882354,2.06215771013331,0.17777777777777778,0.29411764705882354,0.35000000000000003,0.29411764705882354,1,4,3,0.2,0.25,0.22222222222222224,0,0,8,0.0,0.0,0.0,4,8,1,0.3333333333333333,0.8,0.47058823529411764
